,precision,recall,f1-score,support
property_apartment,0.9333333333333333,0.9598965071151359,0.9464285714285714,773.0
property_house,0.9444444444444444,1.0,0.9714285714285714,17.0
property_villa,1.0,0.8,0.8888888888888888,15.0
property_land,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0
property_commercial,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
transaction_sale,0.9825897714907508,0.9923076923076923,0.9874248223072717,910.0
transaction_negotiable,1.0,0.3333333333333333,0.5,3.0
transaction_urgent,0.9333333333333333,0.8235294117647058,0.875,17.0
condition_new_or_renovated,0.8125,0.9512195121951219,0.8764044943820225,41.0
condition_needs_renovation,0.18181818181818182,1.0,0.3076923076923077,2.0
comfort_furnished,0.75,0.75,0.75,12.0
comfort_air_conditioning,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
comfort_heating,0.7619047619047619,1.0,0.8648648648648649,32.0
comfort_parking_or_garage,0.9032258064516129,0.9824561403508771,0.9411764705882353,57.0
comfort_elevator,0.9605263157894737,0.9605263157894737,0.9605263157894737,76.0
comfort_balcony_or_terrace,0.9285714285714286,0.8297872340425532,0.8764044943820225,47.0
comfort_garden,0.7948717948717948,1.0,0.8857142857142857,31.0
comfort_pool,1.0,0.6111111111111112,0.7586206896551724,18.0
comfort_security,0.782608695652174,0.96,0.8622754491017964,75.0
location_sea_view,0.625,1.0,0.7692307692307693,15.0
location_near_beach,0.9761904761904762,1.0,0.9879518072289156,41.0
location_near_school,0.5333333333333333,0.8,0.64,10.0
location_near_transport,0.5,0.6666666666666666,0.5714285714285714,3.0
location_city_center,0.8,1.0,0.8888888888888888,32.0
standing_luxury,0.9541284403669725,1.0,0.9765258215962441,104.0
standing_high_quality_finishing,1.0,1.0,1.0,17.0
signal_low_quality_or_vague,1.0,0.9047619047619048,0.95,21.0
